City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,Xilin Hot,43.9667,116.0333,23.67,81,57,13.42,CN,1732996099
146,Keïta,14.7551,5.7749,68.38,17,98,8.25,NE,1732996100
147,Lebu,-37.6167,-73.65,60.03,73,0,13.87,CL,1732996101
148,Ta`ū,-14.2336,-169.5144,82.06,78,100,14.83,AS,1732996102
149,Mocímboa,-11.3167,40.35,74.98,91,100,14.07,MZ,1732996104
150,Mejit,10.2753,170.8646,82.26,81,100,25.68,MH,1732996105
151,Sangmélima,2.9333,11.9833,76.93,61,99,1.72,CM,1732996106
152,Santa Elena de Uairen,4.6167,-61.1333,78.49,53,78,5.82,VE,1732996107
153,Yorkton,51.2167,-102.4677,-5.96,84,0,5.75,CA,1732996108
154,Aykhal,66.0,111.5,-24.45,100,98,3.31,RU,1732996109
155,Ivdel',60.6911,60.4206,28.09,84,15,8.21,RU,1732996110
156,Kudahuvadhoo,2.6708,72.8944,82.17,71,15,20.29,MV,1732996112
157,Gorontalo,0.5412,123.0595,75.18,97,100,3.69,ID,1732996113
158,Mildura,-34.2,142.15,59.07,91,0,7.4,AU,1732996114
159,Anadyr,64.75,177.4833,30.0,86,40,29.08,RU,1732996115
160,Ad Dabbah,18.05,30.95,65.37,27,13,10.0,SD,1732996116
161,Hasaki,35.7333,140.8333,54.82,57,0,10.27,JP,1732996118
162,La Sarre,48.8002,-79.1996,24.3,92,100,6.35,CA,1732996120
163,Gloucester Point,37.254,-76.4969,43.5,40,0,17.27,US,1732996121
164,Coquimbo,-29.9533,-71.3436,62.98,63,20,12.66,CL,1732996122
165,Edd,13.9297,41.6925,80.96,74,5,9.33,ER,1732996123
166,Port Mathurin,-19.6833,63.4167,76.01,81,87,20.36,MU,1732996124
167,Sollefteå,63.1667,17.2667,28.26,96,82,2.33,SE,1732996125
168,Westport,41.1415,-73.3579,37.65,47,20,10.0,US,1732995709
169,Capri,40.5507,14.2426,48.6,66,40,5.75,IT,1732996128
170,Bodø,67.28,14.405,28.51,70,100,18.41,NO,1732996129
171,Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.59,100,75,4.47,RU,1732996130
172,Ain Sukhna,29.6002,32.3167,60.15,77,3,4.68,EG,1732996131
173,Wailua Homesteads,22.0669,-159.378,76.12,85,20,5.75,US,1732996132
174,Vitória da Conquista,-14.8661,-40.8394,75.04,78,100,5.7,BR,1732996133
175,Isafjordur,66.0755,-23.124,19.31,85,98,30.82,IS,1732996134
176,Margaret River,-33.95,115.0667,60.55,82,100,9.84,AU,1732996136
177,Lorengau,-2.0226,147.2712,80.49,71,100,2.71,PG,1732996137
178,East London,-33.0153,27.9116,67.78,76,100,5.53,ZA,1732995888
